timestamp,park,ride,wait_time,is_open,temp_f,wind_speed_mph,rain_probability,weather_time
2025-08-20 21:08:31,Epic Universe,Bumper Cars,0,True,88.1,6.8,27,2025-08-20T21:00
2025-08-20 21:08:31,Epic Universe,Carousel,0,True,88.1,6.8,27,2025-08-20T21:00
2025-08-20 21:08:31,Epic Universe,Ferris Wheel,0,True,88.1,6.8,27,2025-08-20T21:00
2025-08-20 21:08:31,Epic Universe,Mad Mouse,0,True,88.1,6.8,27,2025-08-20T21:00
2025-08-20 21:08:31,Epic Universe,Minnesota River Valley Railroad - North Station,0,True,88.1,6.8,27,2025-08-20T21:00
2025-08-20 21:08:31,Epic Universe,Minnesota River Valley Railroad - South Station,0,True,88.1,6.8,27,2025-08-20T21:00
2025-08-20 21:08:31,Epic Universe,Monster,0,True,88.1,6.8,27,2025-08-20T21:00
2025-08-20 21:08:31,Epic Universe,The Wave,0,False,88.1,6.8,27,2025-08-20T21:00
2025-08-20 21:08:31,Epic Universe,Thunder Canyon,65,True,88.1,6.8,27,2025-08-20T21:00
2025-08-20 21:08:31,Epic Universe,Wheel of Fortune,0,True,88.1,6.8,27,2025-08-20T21:00
2025-08-20 21:08:31,Epic Universe,Cosmic Coaster,0,True,88.1,6.8,27,2025-08-20T21:00
2025-08-20 21:08:31,Epic Universe,Flying Ace Balloon Race,0,True,88.1,6.8,27,2025-08-20T21:00
2025-08-20 21:08:31,Epic Universe,Kite Eating Tree,0,True,88.1,6.8,27,2025-08-20T21:00
2025-08-20 21:08:31,Epic Universe,Linus Launcher,0,True,88.1,6.8,27,2025-08-20T21:00
2025-08-20 21:08:31,Epic Universe,Linus' Beetle Bugs,0,True,88.1,6.8,27,2025-08-20T21:00
2025-08-20 21:08:31,Epic Universe,Lucy's Tugboat,0,True,88.1,6.8,27,2025-08-20T21:00
2025-08-20 21:08:31,Epic Universe,PEANUTS 500,0,True,88.1,6.8,27,2025-08-20T21:00
2025-08-20 21:08:31,Epic Universe,PEANUTS Playhouse,0,True,88.1,6.8,27,2025-08-20T21:00
